CITY MUNICIPAL CORPORATION,complaint_id,category,priority,reason,flag
    (January–March) of the following year or they are forfeited.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
3. SICK LEAVE,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
3.1 Each employee is entitled to 12 days of paid sick leave per,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    calendar year.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
3.2 Sick leave of 3 or more consecutive days requires a medical,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    certificate from a registered medical practitioner,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    within 48 hours of returning to work.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
3.3 Sick leave cannot be carried forward to the following year.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
3.4 Sick leave taken immediately before or after a public holiday,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    or annual leave period requires a medical certificate regardless,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    of duration.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
4. MATERNITY AND PATERNITY LEAVE,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
4.1 Female employees are entitled to 26 weeks of paid maternity,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    leave for the first two live births.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
4.2 For a third or subsequent child,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    paid.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
4.3 Male employees are entitled to 5 days of paid paternity leave,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    to be taken within 30 days of the child's birth.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
4.4 Paternity leave cannot be split across multiple periods.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
5. LEAVE WITHOUT PAY (LWP),,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
5.1 An employee may apply for Leave Without Pay only after,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    exhausting all applicable paid leave entitlements.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
5.2 LWP requires approval from the Department Head and the,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    HR Director. Manager approval alone is not sufficient.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
5.3 LWP exceeding 30 continuous days requires approval from,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    the Municipal Commissioner.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
5.4 Periods of LWP do not count toward service for the purposes,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    of seniority,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
6. PUBLIC HOLIDAYS,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
6.1 Employees are entitled to all gazetted public holidays as,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    declared by the State Government each year.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
6.2 If an employee is required to work on a public holiday,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    are entitled to one compensatory off day,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    60 days of the holiday worked.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
6.3 Compensatory off cannot be encashed.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
7. LEAVE ENCASHMENT,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
7.1 Annual leave may be encashed only at the time of retirement,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    or resignation,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
7.2 Leave encashment during service is not permitted under any,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    circumstances.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
7.3 Sick leave and LWP cannot be encashed under any circumstances.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
8. GRIEVANCES,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
8.1 Leave-related grievances must be raised with the HR Department,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    within 10 working days of the disputed decision.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
8.2 Grievances raised after 10 working days will not be considered,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    unless exceptional circumstances are demonstrated in writing.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
