ward,category,period,actual_spend,previous_period,previous_actual_spend,growth_amount,growth_pct
Ward 2 – Shivajinagar,Waste Management,2024-03,6.7,2024-02,7.1,-0.4,-5.63
Ward 2 – Shivajinagar,Waste Management,2024-04,6.4,2024-03,6.7,-0.3,-4.48
Ward 2 – Shivajinagar,Waste Management,2024-05,6.2,2024-04,6.4,-0.2,-3.13
Ward 2 – Shivajinagar,Waste Management,2024-06,6.3,2024-05,6.2,0.1,1.61
Ward 2 – Shivajinagar,Waste Management,2024-07,7.8,2024-06,6.3,1.5,23.81
Ward 2 – Shivajinagar,Waste Management,2024-08,9.4,2024-07,7.8,1.6,20.51
Ward 2 – Shivajinagar,Waste Management,2024-09,9.7,2024-08,9.4,0.3,3.19
Ward 2 – Shivajinagar,Waste Management,2024-10,8.1,2024-09,9.7,-1.6,-16.49
Ward 2 – Shivajinagar,Waste Management,2024-11,7.2,2024-10,8.1,-0.9,-11.11
Ward 2 – Shivajinagar,Waste Management,2024-12,6.5,2024-11,7.2,-0.7,-9.72
Ward 3 – Kothrud,Drainage & Flooding,2024-01,8.0,,,,
Ward 3 – Kothrud,Drainage & Flooding,2024-02,8.8,2024-01,8.0,0.8,10.0
Ward 3 – Kothrud,Drainage & Flooding,2024-03,9.2,2024-02,8.8,0.4,4.55
Ward 3 – Kothrud,Drainage & Flooding,2024-04,7.4,2024-03,9.2,-1.8,-19.57
Ward 3 – Kothrud,Drainage & Flooding,2024-05,8.9,2024-04,7.4,1.5,20.27
Ward 3 – Kothrud,Drainage & Flooding,2024-06,8.1,2024-05,8.9,-0.8,-8.99
Ward 3 – Kothrud,Drainage & Flooding,2024-07,10.0,2024-06,8.1,1.9,23.46
Ward 3 – Kothrud,Drainage & Flooding,2024-08,10.6,2024-07,10.0,0.6,6.0
Ward 3 – Kothrud,Drainage & Flooding,2024-09,10.2,2024-08,10.6,-0.4,-3.77
Ward 3 – Kothrud,Drainage & Flooding,2024-10,8.5,2024-09,10.2,-1.7,-16.67
Ward 3 – Kothrud,Drainage & Flooding,2024-11,8.8,2024-10,8.5,0.3,3.53
Ward 3 – Kothrud,Drainage & Flooding,2024-12,8.2,2024-11,8.8,-0.6,-6.82
Ward 3 – Kothrud,Parks & Greening,2024-01,3.3,,,,
Ward 3 – Kothrud,Parks & Greening,2024-02,3.3,2024-01,3.3,0.0,0.0
Ward 3 – Kothrud,Parks & Greening,2024-03,3.4,2024-02,3.3,0.1,3.03
Ward 3 – Kothrud,Parks & Greening,2024-04,2.8,2024-03,3.4,-0.6,-17.65
Ward 3 – Kothrud,Parks & Greening,2024-05,2.9,2024-04,2.8,0.1,3.57
Ward 3 – Kothrud,Parks & Greening,2024-06,4.0,2024-05,2.9,1.1,37.93
Ward 3 – Kothrud,Parks & Greening,2024-07,3.8,2024-06,4.0,-0.2,-5.0
Ward 3 – Kothrud,Parks & Greening,2024-08,,2024-07,3.8,,
Ward 3 – Kothrud,Parks & Greening,2024-09,4.4,2024-07,3.8,0.6,15.79
Ward 3 – Kothrud,Parks & Greening,2024-10,3.5,2024-09,4.4,-0.9,-20.45
Ward 3 – Kothrud,Parks & Greening,2024-11,3.6,2024-10,3.5,0.1,2.86
Ward 3 – Kothrud,Parks & Greening,2024-12,2.8,2024-11,3.6,-0.8,-22.22
Ward 3 – Kothrud,Roads & Pothole Repair,2024-01,10.6,,,,
Ward 3 – Kothrud,Roads & Pothole Repair,2024-02,11.7,2024-01,10.6,1.1,10.38
Ward 3 – Kothrud,Roads & Pothole Repair,2024-03,11.1,2024-02,11.7,-0.6,-5.13
Ward 3 – Kothrud,Roads & Pothole Repair,2024-04,11.2,2024-03,11.1,0.1,0.9
Ward 3 – Kothrud,Roads & Pothole Repair,2024-05,13.1,2024-04,11.2,1.9,16.96
Ward 3 – Kothrud,Roads & Pothole Repair,2024-06,15.0,2024-05,13.1,1.9,14.5
Ward 3 – Kothrud,Roads & Pothole Repair,2024-07,19.0,2024-06,15.0,4.0,26.67
Ward 3 – Kothrud,Roads & Pothole Repair,2024-08,18.3,2024-07,19.0,-0.7,-3.68
Ward 3 – Kothrud,Roads & Pothole Repair,2024-09,17.2,2024-08,18.3,-1.1,-6.01
Ward 3 – Kothrud,Roads & Pothole Repair,2024-10,14.1,2024-09,17.2,-3.1,-18.02
Ward 3 – Kothrud,Roads & Pothole Repair,2024-11,9.9,2024-10,14.1,-4.2,-29.79
Ward 3 – Kothrud,Roads & Pothole Repair,2024-12,12.3,2024-11,9.9,2.4,24.24
Ward 3 – Kothrud,Streetlight Maintenance,2024-01,3.4,,,,
Ward 3 – Kothrud,Streetlight Maintenance,2024-02,4.0,2024-01,3.4,0.6,17.65
Ward 3 – Kothrud,Streetlight Maintenance,2024-03,4.1,2024-02,4.0,0.1,2.5
Ward 3 – Kothrud,Streetlight Maintenance,2024-04,4.5,2024-03,4.1,0.4,9.76
Ward 3 – Kothrud,Streetlight Maintenance,2024-05,3.6,2024-04,4.5,-0.9,-20.0
Ward 3 – Kothrud,Streetlight Maintenance,2024-06,4.5,2024-05,3.6,0.9,25.0
Ward 3 – Kothrud,Streetlight Maintenance,2024-07,5.9,2024-06,4.5,1.4,31.11
Ward 3 – Kothrud,Streetlight Maintenance,2024-08,4.9,2024-07,5.9,-1.0,-16.95
Ward 3 – Kothrud,Streetlight Maintenance,2024-09,6.0,2024-08,4.9,1.1,22.45
Ward 3 – Kothrud,Streetlight Maintenance,2024-10,4.4,2024-09,6.0,-1.6,-26.67
Ward 3 – Kothrud,Streetlight Maintenance,2024-11,3.7,2024-10,4.4,-0.7,-15.91
Ward 3 – Kothrud,Streetlight Maintenance,2024-12,3.8,2024-11,3.7,0.1,2.7
Ward 3 – Kothrud,Waste Management,2024-01,4.6,,,,
Ward 3 – Kothrud,Waste Management,2024-02,5.6,2024-01,4.6,1.0,21.74
Ward 3 – Kothrud,Waste Management,2024-03,5.1,2024-02,5.6,-0.5,-8.93
Ward 3 – Kothrud,Waste Management,2024-04,5.1,2024-03,5.1,0.0,0.0
Ward 3 – Kothrud,Waste Management,2024-05,5.0,2024-04,5.1,-0.1,-1.96
Ward 3 – Kothrud,Waste Management,2024-06,5.1,2024-05,5.0,0.1,2.0
Ward 3 – Kothrud,Waste Management,2024-07,7.5,2024-06,5.1,2.4,47.06
Ward 3 – Kothrud,Waste Management,2024-08,6.3,2024-07,7.5,-1.2,-16.0
Ward 3 – Kothrud,Waste Management,2024-09,7.0,2024-08,6.3,0.7,11.11
Ward 3 – Kothrud,Waste Management,2024-10,6.1,2024-09,7.0,-0.9,-12.86
Ward 3 – Kothrud,Waste Management,2024-11,5.3,2024-10,6.1,-0.8,-13.11
Ward 3 – Kothrud,Waste Management,2024-12,4.3,2024-11,5.3,-1.0,-18.87
Ward 4 – Warje,Drainage & Flooding,2024-01,6.1,,,,
Ward 4 – Warje,Drainage & Flooding,2024-02,5.7,2024-01,6.1,-0.4,-6.56
Ward 4 – Warje,Drainage & Flooding,2024-03,7.1,2024-02,5.7,1.4,24.56
Ward 4 – Warje,Drainage & Flooding,2024-04,5.8,2024-03,7.1,-1.3,-18.31
Ward 4 – Warje,Drainage & Flooding,2024-05,7.3,2024-04,5.8,1.5,25.86
Ward 4 – Warje,Drainage & Flooding,2024-06,6.8,2024-05,7.3,-0.5,-6.85
Ward 4 – Warje,Drainage & Flooding,2024-07,8.2,2024-06,6.8,1.4,20.59
Ward 4 – Warje,Drainage & Flooding,2024-08,9.8,2024-07,8.2,1.6,19.51
Ward 4 – Warje,Drainage & Flooding,2024-09,9.1,2024-08,9.8,-0.7,-7.14
Ward 4 – Warje,Drainage & Flooding,2024-10,8.1,2024-09,9.1,-1.0,-10.99
Ward 4 – Warje,Drainage & Flooding,2024-11,5.9,2024-10,8.1,-2.2,-27.16
Ward 4 – Warje,Drainage & Flooding,2024-12,7.4,2024-11,5.9,1.5,25.42
Ward 4 – Warje,Parks & Greening,2024-01,1.3,,,,
Ward 4 – Warje,Parks & Greening,2024-02,1.4,2024-01,1.3,0.1,7.69
Ward 4 – Warje,Parks & Greening,2024-03,1.5,2024-02,1.4,0.1,7.14
Ward 4 – Warje,Parks & Greening,2024-04,1.5,2024-03,1.5,0.0,0.0
Ward 4 – Warje,Parks & Greening,2024-05,1.6,2024-04,1.5,0.1,6.67
Ward 4 – Warje,Parks & Greening,2024-06,1.7,2024-05,1.6,0.1,6.25
Ward 4 – Warje,Parks & Greening,2024-07,1.9,2024-06,1.7,0.2,11.76
Ward 4 – Warje,Parks & Greening,2024-08,2.4,2024-07,1.9,0.5,26.32
Ward 4 – Warje,Parks & Greening,2024-09,1.9,2024-08,2.4,-0.5,-20.83
Ward 4 – Warje,Parks & Greening,2024-10,2.0,2024-09,1.9,0.1,5.26
Ward 4 – Warje,Parks & Greening,2024-11,1.4,2024-10,2.0,-0.6,-30.0
Ward 4 – Warje,Parks & Greening,2024-12,1.6,2024-11,1.4,0.2,14.29
Ward 4 – Warje,Roads & Pothole Repair,2024-01,10.2,,,,
Ward 4 – Warje,Roads & Pothole Repair,2024-02,10.7,2024-01,10.2,0.5,4.9
Ward 4 – Warje,Roads & Pothole Repair,2024-03,11.1,2024-02,10.7,0.4,3.74
Ward 4 – Warje,Roads & Pothole Repair,2024-04,8.8,2024-03,11.1,-2.3,-20.72
Ward 4 – Warje,Roads & Pothole Repair,2024-05,11.3,2024-04,8.8,2.5,28.41
Ward 4 – Warje,Roads & Pothole Repair,2024-06,12.5,2024-05,11.3,1.2,10.62
Ward 4 – Warje,Roads & Pothole Repair,2024-07,,2024-06,12.5,,
Ward 4 – Warje,Roads & Pothole Repair,2024-08,16.0,2024-06,12.5,3.5,28.0
Ward 4 – Warje,Roads & Pothole Repair,2024-09,14.7,2024-08,16.0,-1.3,-8.13
Ward 4 – Warje,Roads & Pothole Repair,2024-10,11.0,2024-09,14.7,-3.7,-25.17
Ward 4 – Warje,Roads & Pothole Repair,2024-11,9.0,2024-10,11.0,-2.0,-18.18
Ward 4 – Warje,Roads & Pothole Repair,2024-12,11.2,2024-11,9.0,2.2,24.44
Ward 4 – Warje,Streetlight Maintenance,2024-01,3.1,,,,
Ward 4 – Warje,Streetlight Maintenance,2024-02,2.8,2024-01,3.1,-0.3,-9.68
Ward 4 – Warje,Streetlight Maintenance,2024-03,2.8,2024-02,2.8,0.0,0.0
Ward 4 – Warje,Streetlight Maintenance,2024-04,3.1,2024-03,2.8,0.3,10.71
Ward 4 – Warje,Streetlight Maintenance,2024-05,2.8,2024-04,3.1,-0.3,-9.68
Ward 4 – Warje,Streetlight Maintenance,2024-06,3.4,2024-05,2.8,0.6,21.43
Ward 4 – Warje,Streetlight Maintenance,2024-07,4.2,2024-06,3.4,0.8,23.53
Ward 4 – Warje,Streetlight Maintenance,2024-08,4.1,2024-07,4.2,-0.1,-2.38
Ward 4 – Warje,Streetlight Maintenance,2024-09,4.0,2024-08,4.1,-0.1,-2.44
Ward 4 – Warje,Streetlight Maintenance,2024-10,3.0,2024-09,4.0,-1.0,-25.0
Ward 4 – Warje,Streetlight Maintenance,2024-11,2.6,2024-10,3.0,-0.4,-13.33
Ward 4 – Warje,Streetlight Maintenance,2024-12,3.0,2024-11,2.6,0.4,15.38
Ward 4 – Warje,Waste Management,2024-01,4.7,,,,
Ward 4 – Warje,Waste Management,2024-02,4.1,2024-01,4.7,-0.6,-12.77
Ward 4 – Warje,Waste Management,2024-03,3.7,2024-02,4.1,-0.4,-9.76
Ward 4 – Warje,Waste Management,2024-04,4.7,2024-03,3.7,1.0,27.03
Ward 4 – Warje,Waste Management,2024-05,4.5,2024-04,4.7,-0.2,-4.26
Ward 4 – Warje,Waste Management,2024-06,5.0,2024-05,4.5,0.5,11.11
Ward 4 – Warje,Waste Management,2024-07,5.4,2024-06,5.0,0.4,8.0
Ward 4 – Warje,Waste Management,2024-08,5.1,2024-07,5.4,-0.3,-5.56
Ward 4 – Warje,Waste Management,2024-09,6.4,2024-08,5.1,1.3,25.49
Ward 4 – Warje,Waste Management,2024-10,4.9,2024-09,6.4,-1.5,-23.44
Ward 4 – Warje,Waste Management,2024-11,4.4,2024-10,4.9,-0.5,-10.2
Ward 4 – Warje,Waste Management,2024-12,4.7,2024-11,4.4,0.3,6.82
Ward 5 – Hadapsar,Drainage & Flooding,2024-01,11.0,,,,
Ward 5 – Hadapsar,Drainage & Flooding,2024-02,9.2,2024-01,11.0,-1.8,-16.36
Ward 5 – Hadapsar,Drainage & Flooding,2024-03,9.5,2024-02,9.2,0.3,3.26
Ward 5 – Hadapsar,Drainage & Flooding,2024-04,10.0,2024-03,9.5,0.5,5.26
Ward 5 – Hadapsar,Drainage & Flooding,2024-05,11.2,2024-04,10.0,1.2,12.0
Ward 5 – Hadapsar,Drainage & Flooding,2024-06,11.7,2024-05,11.2,0.5,4.46
Ward 5 – Hadapsar,Drainage & Flooding,2024-07,13.9,2024-06,11.7,2.2,18.8
Ward 5 – Hadapsar,Drainage & Flooding,2024-08,15.8,2024-07,13.9,1.9,13.67
Ward 5 – Hadapsar,Drainage & Flooding,2024-09,12.8,2024-08,15.8,-3.0,-18.99
Ward 5 – Hadapsar,Drainage & Flooding,2024-10,10.5,2024-09,12.8,-2.3,-17.97
Ward 5 – Hadapsar,Drainage & Flooding,2024-11,11.1,2024-10,10.5,0.6,5.71
Ward 5 – Hadapsar,Drainage & Flooding,2024-12,9.3,2024-11,11.1,-1.8,-16.22
Ward 5 – Hadapsar,Parks & Greening,2024-01,2.8,,,,
Ward 5 – Hadapsar,Parks & Greening,2024-02,2.4,2024-01,2.8,-0.4,-14.29
Ward 5 – Hadapsar,Parks & Greening,2024-03,2.3,2024-02,2.4,-0.1,-4.17
Ward 5 – Hadapsar,Parks & Greening,2024-04,2.8,2024-03,2.3,0.5,21.74
Ward 5 – Hadapsar,Parks & Greening,2024-05,2.7,2024-04,2.8,-0.1,-3.57
Ward 5 – Hadapsar,Parks & Greening,2024-06,3.0,2024-05,2.7,0.3,11.11
Ward 5 – Hadapsar,Parks & Greening,2024-07,3.0,2024-06,3.0,0.0,0.0
Ward 5 – Hadapsar,Parks & Greening,2024-08,3.3,2024-07,3.0,0.3,10.0
Ward 5 – Hadapsar,Parks & Greening,2024-09,3.1,2024-08,3.3,-0.2,-6.06
Ward 5 – Hadapsar,Parks & Greening,2024-10,3.2,2024-09,3.1,0.1,3.23
Ward 5 – Hadapsar,Parks & Greening,2024-11,2.3,2024-10,3.2,-0.9,-28.13
Ward 5 – Hadapsar,Parks & Greening,2024-12,2.7,2024-11,2.3,0.4,17.39
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-01,15.3,,,,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-02,12.9,2024-01,15.3,-2.4,-15.69
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-03,13.1,2024-02,12.9,0.2,1.55
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-04,12.2,2024-03,13.1,-0.9,-6.87
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-05,12.6,2024-04,12.2,0.4,3.28
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-06,17.9,2024-05,12.6,5.3,42.06
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-07,22.8,2024-06,17.9,4.9,27.37
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-08,24.6,2024-07,22.8,1.8,7.89
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-09,20.6,2024-08,24.6,-4.0,-16.26
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-10,18.4,2024-09,20.6,-2.2,-10.68
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-11,14.4,2024-10,18.4,-4.0,-21.74
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-12,12.6,2024-11,14.4,-1.8,-12.5
Ward 5 – Hadapsar,Streetlight Maintenance,2024-01,3.4,,,,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-02,3.4,2024-01,3.4,0.0,0.0
Ward 5 – Hadapsar,Streetlight Maintenance,2024-03,4.1,2024-02,3.4,0.7,20.59
Ward 5 – Hadapsar,Streetlight Maintenance,2024-04,4.1,2024-03,4.1,0.0,0.0
Ward 5 – Hadapsar,Streetlight Maintenance,2024-05,,2024-04,4.1,,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-06,3.8,2024-04,4.1,-0.3,-7.32
Ward 5 – Hadapsar,Streetlight Maintenance,2024-07,5.3,2024-06,3.8,1.5,39.47
Ward 5 – Hadapsar,Streetlight Maintenance,2024-08,5.4,2024-07,5.3,0.1,1.89
Ward 5 – Hadapsar,Streetlight Maintenance,2024-09,5.0,2024-08,5.4,-0.4,-7.41
Ward 5 – Hadapsar,Streetlight Maintenance,2024-10,3.8,2024-09,5.0,-1.2,-24.0
Ward 5 – Hadapsar,Streetlight Maintenance,2024-11,3.3,2024-10,3.8,-0.5,-13.16
Ward 5 – Hadapsar,Streetlight Maintenance,2024-12,3.4,2024-11,3.3,0.1,3.03
Ward 5 – Hadapsar,Waste Management,2024-01,5.4,,,,
