period,ward,category,actual_spend,growth,formula,notes
2024-08,Ward 1 – Kasba,Waste Management,8.3,+9.2%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 1 – Kasba,Waste Management,8.9,+7.2%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 1 – Kasba,Waste Management,6.8,-23.6%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 1 – Kasba,Waste Management,NULL,NULL,Cannot compute (Null Value),Contractor change — billing delayed
2024-12,Ward 1 – Kasba,Waste Management,5.1,NULL,Cannot compute (Null Value),Preceding month (2024-11) had null spend
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.9,n/a,n/a (First Period),
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.4,-4.6%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 2 – Shivajinagar,Drainage & Flooding,NULL,NULL,Cannot compute (Null Value),Data not submitted by ward office
2024-04,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,NULL,Cannot compute (Null Value),Preceding month (2024-03) had null spend
2024-05,Ward 2 – Shivajinagar,Drainage & Flooding,10.2,+2.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 2 – Shivajinagar,Drainage & Flooding,12.3,+20.6%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 2 – Shivajinagar,Drainage & Flooding,12.6,+2.4%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 2 – Shivajinagar,Drainage & Flooding,12.8,+1.6%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 2 – Shivajinagar,Drainage & Flooding,12.9,+0.8%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 2 – Shivajinagar,Drainage & Flooding,11.5,-10.9%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 2 – Shivajinagar,Drainage & Flooding,10.4,-9.6%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 2 – Shivajinagar,Drainage & Flooding,8.4,-19.2%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 2 – Shivajinagar,Parks & Greening,1.6,n/a,n/a (First Period),
2024-02,Ward 2 – Shivajinagar,Parks & Greening,1.8,+12.5%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 2 – Shivajinagar,Parks & Greening,1.7,-5.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 2 – Shivajinagar,Parks & Greening,2.1,+23.5%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 2 – Shivajinagar,Parks & Greening,1.8,-14.3%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 2 – Shivajinagar,Parks & Greening,2.4,+33.3%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 2 – Shivajinagar,Parks & Greening,2.3,-4.2%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 2 – Shivajinagar,Parks & Greening,2.3,0.0%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 2 – Shivajinagar,Parks & Greening,2.5,+8.7%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 2 – Shivajinagar,Parks & Greening,1.9,-24.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 2 – Shivajinagar,Parks & Greening,1.9,0.0%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 2 – Shivajinagar,Parks & Greening,1.7,-10.5%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.2,n/a,n/a (First Period),
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.8,+3.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.9,-5.4%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.3,-10.1%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,+0.7%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 2 – Shivajinagar,Roads & Pothole Repair,19.7,+36.8%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 2 – Shivajinagar,Roads & Pothole Repair,23.4,+18.8%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 2 – Shivajinagar,Roads & Pothole Repair,22.8,-2.6%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 2 – Shivajinagar,Roads & Pothole Repair,24.6,+7.9%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.3,-29.7%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.0,-1.7%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,-15.3%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 2 – Shivajinagar,Streetlight Maintenance,3.8,n/a,n/a (First Period),
2024-02,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,+15.8%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 2 – Shivajinagar,Streetlight Maintenance,3.9,-11.4%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 2 – Shivajinagar,Streetlight Maintenance,4.0,+2.6%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 2 – Shivajinagar,Streetlight Maintenance,3.8,-5.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 2 – Shivajinagar,Streetlight Maintenance,4.7,+23.7%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 2 – Shivajinagar,Streetlight Maintenance,6.0,+27.7%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 2 – Shivajinagar,Streetlight Maintenance,5.6,-6.7%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 2 – Shivajinagar,Streetlight Maintenance,6.6,+17.9%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 2 – Shivajinagar,Streetlight Maintenance,5.0,-24.2%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 2 – Shivajinagar,Streetlight Maintenance,4.5,-10.0%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 2 – Shivajinagar,Streetlight Maintenance,4.7,+4.4%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 2 – Shivajinagar,Waste Management,6.1,n/a,n/a (First Period),
2024-02,Ward 2 – Shivajinagar,Waste Management,7.1,+16.4%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 2 – Shivajinagar,Waste Management,6.7,-5.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 2 – Shivajinagar,Waste Management,6.4,-4.5%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 2 – Shivajinagar,Waste Management,6.2,-3.1%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 2 – Shivajinagar,Waste Management,6.3,+1.6%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 2 – Shivajinagar,Waste Management,7.8,+23.8%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 2 – Shivajinagar,Waste Management,9.4,+20.5%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 2 – Shivajinagar,Waste Management,9.7,+3.2%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 2 – Shivajinagar,Waste Management,8.1,-16.5%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 2 – Shivajinagar,Waste Management,7.2,-11.1%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 2 – Shivajinagar,Waste Management,6.5,-9.7%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 3 – Kothrud,Drainage & Flooding,8.0,n/a,n/a (First Period),
2024-02,Ward 3 – Kothrud,Drainage & Flooding,8.8,+10.0%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 3 – Kothrud,Drainage & Flooding,9.2,+4.5%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 3 – Kothrud,Drainage & Flooding,7.4,-19.6%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 3 – Kothrud,Drainage & Flooding,8.9,+20.3%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 3 – Kothrud,Drainage & Flooding,8.1,-9.0%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 3 – Kothrud,Drainage & Flooding,10.0,+23.5%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 3 – Kothrud,Drainage & Flooding,10.6,+6.0%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 3 – Kothrud,Drainage & Flooding,10.2,-3.8%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 3 – Kothrud,Drainage & Flooding,8.5,-16.7%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 3 – Kothrud,Drainage & Flooding,8.8,+3.5%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 3 – Kothrud,Drainage & Flooding,8.2,-6.8%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 3 – Kothrud,Parks & Greening,3.3,n/a,n/a (First Period),
2024-02,Ward 3 – Kothrud,Parks & Greening,3.3,0.0%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 3 – Kothrud,Parks & Greening,3.4,+3.0%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 3 – Kothrud,Parks & Greening,2.8,-17.6%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 3 – Kothrud,Parks & Greening,2.9,+3.6%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 3 – Kothrud,Parks & Greening,4.0,+37.9%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 3 – Kothrud,Parks & Greening,3.8,-5.0%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 3 – Kothrud,Parks & Greening,NULL,NULL,Cannot compute (Null Value),Project suspended — pending approval
2024-09,Ward 3 – Kothrud,Parks & Greening,4.4,NULL,Cannot compute (Null Value),Preceding month (2024-08) had null spend
2024-10,Ward 3 – Kothrud,Parks & Greening,3.5,-20.5%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 3 – Kothrud,Parks & Greening,3.6,+2.9%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 3 – Kothrud,Parks & Greening,2.8,-22.2%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 3 – Kothrud,Roads & Pothole Repair,10.6,n/a,n/a (First Period),
2024-02,Ward 3 – Kothrud,Roads & Pothole Repair,11.7,+10.4%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 3 – Kothrud,Roads & Pothole Repair,11.1,-5.1%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 3 – Kothrud,Roads & Pothole Repair,11.2,+0.9%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 3 – Kothrud,Roads & Pothole Repair,13.1,+17.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 3 – Kothrud,Roads & Pothole Repair,15.0,+14.5%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 3 – Kothrud,Roads & Pothole Repair,19.0,+26.7%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 3 – Kothrud,Roads & Pothole Repair,18.3,-3.7%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 3 – Kothrud,Roads & Pothole Repair,17.2,-6.0%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 3 – Kothrud,Roads & Pothole Repair,14.1,-18.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 3 – Kothrud,Roads & Pothole Repair,9.9,-29.8%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 3 – Kothrud,Roads & Pothole Repair,12.3,+24.2%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 3 – Kothrud,Streetlight Maintenance,3.4,n/a,n/a (First Period),
2024-02,Ward 3 – Kothrud,Streetlight Maintenance,4.0,+17.6%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 3 – Kothrud,Streetlight Maintenance,4.1,+2.5%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 3 – Kothrud,Streetlight Maintenance,4.5,+9.8%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 3 – Kothrud,Streetlight Maintenance,3.6,-20.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 3 – Kothrud,Streetlight Maintenance,4.5,+25.0%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 3 – Kothrud,Streetlight Maintenance,5.9,+31.1%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 3 – Kothrud,Streetlight Maintenance,4.9,-16.9%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 3 – Kothrud,Streetlight Maintenance,6.0,+22.4%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 3 – Kothrud,Streetlight Maintenance,4.4,-26.7%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 3 – Kothrud,Streetlight Maintenance,3.7,-15.9%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 3 – Kothrud,Streetlight Maintenance,3.8,+2.7%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 3 – Kothrud,Waste Management,4.6,n/a,n/a (First Period),
2024-02,Ward 3 – Kothrud,Waste Management,5.6,+21.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 3 – Kothrud,Waste Management,5.1,-8.9%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 3 – Kothrud,Waste Management,5.1,0.0%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 3 – Kothrud,Waste Management,5.0,-2.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 3 – Kothrud,Waste Management,5.1,+2.0%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 3 – Kothrud,Waste Management,7.5,+47.1%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 3 – Kothrud,Waste Management,6.3,-16.0%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 3 – Kothrud,Waste Management,7.0,+11.1%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 3 – Kothrud,Waste Management,6.1,-12.9%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 3 – Kothrud,Waste Management,5.3,-13.1%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 3 – Kothrud,Waste Management,4.3,-18.9%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 4 – Warje,Drainage & Flooding,6.1,n/a,n/a (First Period),
2024-02,Ward 4 – Warje,Drainage & Flooding,5.7,-6.6%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 4 – Warje,Drainage & Flooding,7.1,+24.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 4 – Warje,Drainage & Flooding,5.8,-18.3%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 4 – Warje,Drainage & Flooding,7.3,+25.9%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 4 – Warje,Drainage & Flooding,6.8,-6.8%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 4 – Warje,Drainage & Flooding,8.2,+20.6%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 4 – Warje,Drainage & Flooding,9.8,+19.5%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 4 – Warje,Drainage & Flooding,9.1,-7.1%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 4 – Warje,Drainage & Flooding,8.1,-11.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 4 – Warje,Drainage & Flooding,5.9,-27.2%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 4 – Warje,Drainage & Flooding,7.4,+25.4%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 4 – Warje,Parks & Greening,1.3,n/a,n/a (First Period),
2024-02,Ward 4 – Warje,Parks & Greening,1.4,+7.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 4 – Warje,Parks & Greening,1.5,+7.1%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 4 – Warje,Parks & Greening,1.5,0.0%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 4 – Warje,Parks & Greening,1.6,+6.7%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 4 – Warje,Parks & Greening,1.7,+6.2%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 4 – Warje,Parks & Greening,1.9,+11.8%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 4 – Warje,Parks & Greening,2.4,+26.3%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 4 – Warje,Parks & Greening,1.9,-20.8%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 4 – Warje,Parks & Greening,2.0,+5.3%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 4 – Warje,Parks & Greening,1.4,-30.0%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 4 – Warje,Parks & Greening,1.6,+14.3%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.2,n/a,n/a (First Period),
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.7,+4.9%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 4 – Warje,Roads & Pothole Repair,11.1,+3.7%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 4 – Warje,Roads & Pothole Repair,8.8,-20.7%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
